good_id,good_inf,good_company,url,good_nums,good_prices
41,2018新款女装秋装小香风背带两件套甜美丝绒套装900,广州鸳鸯佳人服装有限公司,../img/images/good21.jpg,539,47.90
42,时尚撞色针织连衣裙连件套  5862,深圳鑫燃勤子服饰有限公司,../img/images/good22.jpg,824,73.40
43,休闲运动服套装女早秋款2018新款女装连帽套头卫衣时尚修身两件套406,广州斯诺服饰有限公司,../img/images/good23.jpg,419,53.20
44,2018秋季新款女装V领长袖长裤运动服套装两件套早秋休闲运动套装405,广州斯诺服饰有限公司,../img/images/good24.jpg,940,42.60
45,休闲运动服套装女春秋新款韩版时尚宽松显瘦卫衣跑步大码三件套潮395,广州斯诺服饰有限公司,../img/images/good25.jpg,869,69.10
46,运动套装女2018秋款女士休闲卫衣大码宽松网球服春秋户外健身服装909,广州斯诺服饰有限公司,../img/images/good26.jpg,927,47.90
47,2018年 秋季新款时尚休闲运动休闲套装女 851,广州纯嘉漫贸易有限公司,../img/images/good27.jpg,594,88.00
48,2018年 秋季新款运动休闲套装女 877,广州纯嘉漫贸易有限公司,../img/images/good28.jpg,545,98.00
49,2018年 秋季新款时尚休闲运动休闲套装女 889,广州纯嘉漫贸易有限公司,../img/images/good29.jpg,546,101.00
50,2018年 秋季新款时尚休闲运动休闲套装女 809,广州纯嘉漫贸易有限公司,../img/images/good30.jpg,424,118.00
51,2018年 秋季新款时尚休闲运动休闲套装女 860,广州纯嘉漫贸易有限公司,../img/images/good31.jpg,464,83.00
52,2018年 秋季新款时尚休闲运动休闲套装女 856,广州纯嘉漫贸易有限公司,../img/images/good32.jpg,943,101.00
53,2018年 秋季新款时尚休闲运动休闲套装女 863,广州纯嘉漫贸易有限公司,../img/images/good33.jpg,508,98.00
54,优璇美 卫衣带帽上衣+阔腿裤车织边条套装 FBE018,东莞市优璇美服饰有限公司,../img/images/good34.jpg,315,104.30
55,优璇美 真丝绒高领上衣+真丝绒压折裙子 FBE005,东莞市优璇美服饰有限公司,../img/images/good35.jpg,550,92.60
56,1104#毛衣女林心如明星同款上衣2018早秋新款一字领荷叶边针织衫,女人志,../img/images/good36.jpg,506,44.69
57,2277#实拍毛衣套装2018秋冬新款钉珠针织衫格子毛呢半身裙套装,女人志,../img/images/good37.jpg,955,43.60
58,2276#实拍学院风娃娃领毛衣套装女秋冬新款小清新针织衫上衣短裙,女人志,../img/images/good38.jpg,856,46.87
59,2275#秋冬装女2018新款冬甜美时尚小个子初秋套装裙毛衣短裙两件,女人志,../img/images/good39.jpg,817,31.61
60,2273#实拍荷叶边V领毛衣套装裙女喇叭袖针织衫上衣短裙两件套秋,女人志,../img/images/good40.jpg,749,57.77
61,2266#实拍毛衣配毛呢短裙套装裙女2018秋冬新款小清新学生两件套,女人志,../img/images/good21.jpg,907,45.78
62,2256#实拍2018秋冬新款V领宽松袖口有织带毛衣+网纱长裙【套装】,女人志,../img/images/good22.jpg,629,40.33
63,2253#实拍2018秋冬露肩宽松毛衣女+网纱裙长裙大摆裙【套装】,女人志,../img/images/good23.jpg,968,45.78
64,2251#实拍2018秋冬宽松圆领针织衫毛衣女+短裙大摆裙【套装】,女人志,../img/images/good24.jpg,689,40.33
65,2255#实拍2018秋冬圆领波浪下摆毛衣女+网纱长裙下半身裙【套装】,女人志,../img/images/good25.jpg,938,44.69
66,2245#实拍2018秋冬新款条纹撞色圆领毛衣女+大摆裙短裙【套装】,女人志,../img/images/good26.jpg,536,51.23
67,2248#实拍2018秋冬新款韩版金丝拉链连衣帽毛衣+网纱裙【套装】,女人志,../img/images/good27.jpg,376,55.59
68,2247#实拍2018秋冬新款W波浪V领针织衫毛衣女+短裙字裙【套装】,女人志,../img/images/good28.jpg,784,45.78
69,2255#实拍2018秋冬圆领波浪下摆毛衣女+网纱长裙下半身裙【套装】,女人志,../img/images/good29.jpg,396,44.69
70,2263#实拍2018秋冬新款毛毛球圆领毛衣女+网纱长裙半身裙【套装】,女人志,../img/images/good30.jpg,790,44.69
71,布桂坊2018年秋季时尚运动休闲套装   5940,布桂坊,../img/images/good31.jpg,527,97.90
72,布桂坊2018年秋季时尚运动休闲套装   5941,布桂坊,../img/images/good32.jpg,478,97.90
73,布桂坊2018年秋季时尚运动休闲套装   5021,布桂坊,../img/images/good33.jpg,690,106.40
74,布桂坊2018年秋季时尚运动休闲套装   5922,布桂坊,../img/images/good34.jpg,602,97.90
75,布桂坊2018年秋季时尚运动休闲套装   5928,布桂坊,../img/images/good35.jpg,503,108.50
76,布桂坊2018年秋季时尚运动休闲套装   5020,布桂坊,../img/images/good36.jpg,501,88.30
77,布桂坊2018年秋季时尚运动休闲套装   5010,布桂坊,../img/images/good37.jpg,989,89.40
78,布桂坊2108年秋季新款时尚休闲套装  5007,布桂坊,../img/images/good38.jpg,912,93.60
79,秋天金丝绒运动套装女春秋2018新款时尚韩版休闲阔腿裤大码两件套908,广州斯诺服饰有限公司,../img/images/good39.jpg,980,63.80
80,运动服套装女2018早秋时尚休闲阔腿裤套装韩版学生卫衣两件套潮秋442,广州斯诺服饰有限公司,../img/images/good40.jpg,535,47.90
