good_id,url,good_infom,good_shops,good_nums,good_price
xp1,img/images/xp1.jpg,1102#实拍2018秋冬毛衣女针织衫上衣韩版网红同款抖音小姐姐毛衣,女人志,737,52
xp2,img/images/xp2.jpg,1107#实拍2018秋冬新款两件套针织衫毛衣女【背心＋套头毛衣】,女人志,985,68
xp3,img/images/xp3.jpg,1106#实拍2018秋冬高领麻花毛衣女针织衫上衣抖音网红爆款毛衣,女人志,456,51
xp4,img/images/xp4.jpg,3301#实拍2018秋冬新款层层裙蛋糕裙松紧腰仙女裙抖音网红半身裙,女人志,318,37
xp5,img/images/xp5.jpg,3302#实拍2018秋冬新款加珠网纱裙蛋糕裙下半身裙,女人志,918,32
xp6,img/images/xp6.jpg,3305#实拍2018秋冬新款网纱珍珠长裙公主裙网纱裙大摆裙长裙子,女人志,304,37
xp7,img/images/xp7.jpg,3306#实拍2018秋冬针织加厚短裙A字裙斜纹裙大摆裙 下半身裙子,女人志,591,40
xp8,img/images/xp8.jpg,花楒伊 秋装薄款小清新Polo领针织毛衣 093,广州花楒伊服饰有限公司,813,61.7
xp9,img/images/xp9.jpg,花楒伊 秋装薄款小清新纯色针织毛衣 092,广州花楒伊服饰有限公司,835,58.5
xp10,img/images/xp10.jpg,爱易凡 衬衫 215,广州爱易凡贸易有限公司,454,47.9
xp11,img/images/xp11.jpg,爱易凡 大格子衬衫 812,广州爱易凡贸易有限公司,443,47.9
xp12,img/images/xp12.jpg,女人志 2018秋冬宽松百搭订花立体花蝙蝠袖甜美加厚针织衫毛衣 8191#,女人志,711,59.9
xp13,img/images/xp13.jpg,女人志?2018秋冬桃心绣花毛衣+扣子短裙百搭 【套装】 8182,女人志,654,65
xp14,img/images/xp14.jpg,女人志?2018秋冬最新韩版时尚粗针毛衣+格子面料套装 8178,女人志,474,65.4
xp15,img/images/xp15.jpg,女人志 2018秋冬新款宽松毛衣 +百搭半身裙 配皮带毛衣套装 8233,女人志,2588,60
xp16,img/images/xp16.jpg,女人志?2018秋冬爆款木耳花边毛衣+短裙配皮带【套装】8180,女人志,1023,59.9
xp17,img/images/xp17.jpg,Shining World爱·独立 弹力开叉喇叭牛仔裤 721#,广州市米歇尔服饰贸易有限公司,962,56.4
xp18,img/images/xp18.jpg,Shining World爱·独立 破洞不规则剪边弹力牛仔裤 303#,广州市米歇尔服饰贸易有限公司,540,66.4
xp19,img/images/xp19.jpg,Shining World爱·独立 弹力修身剪边小直筒牛仔裤 701-1,广州市米歇尔服饰贸易有限公司,871,57.9
